1 43942
0 0 0
420 0 0
840 1 0
1260 0 0
1680 0 0
2100 1 0
2520 0 0
2940 1 0
3360 2 0
3780 2 0
4200 1 0
4620 2 0
5040 2 0
5460 1 0
5880 2 0
6300 1 0
6720 0 0
7140 0 0
7560 1 0
7980 0 0
8400 0 0
8820 1 0
9240 0 0
9660 1 0
10080 1 0
10500 1 0
10920 2 0
11340 1 0
11760 1 0
12180 2 0
12600 1 0
13020 2 0
13440 0 0
13860 0 0
14280 3 0
14700 0 0
15120 0 0
15540 3 0
15960 0 0
16380 3 0
16800 0 0
17220 0 0
17640 1 0
18060 0 0
18480 0 0
18900 1 0
19320 0 0
19740 1 0
20160 0 0
20160 2 0
21420 1 3360
22260 4 2520
25620 2 0
25830 3 0
26040 4 0
26460 3 3360
26880 0 2940
30660 1 0
30870 2 0
31290 3 2940
34440 0 0
34650 4 840
35700 2 1260
36960 3 840
37800 1 1260
39060 0 1260
40320 3 1050
41370 4 1260
42630 3 1260
43890 1 840
44730 0 1260
45990 2 1260
47250 4 840
48090 1 2310
48090 3 2310
50610 2 0
51450 1 1470
51450 3 1470
52920 0 0
54180 1 0
55020 1 1260
55020 3 1260
56280 2 0
57540 0 0
58380 1 1260
58380 3 1260
59640 4 0
59850 2 0
60060 2 0
60270 2 0
60480 2 0
60690 2 0
60900 2 0
61110 2 0
61320 2 0
61530 0 0
61950 3 0
62370 0 0
62790 3 0
63210 0 0
63630 3 0
64050 0 0
64470 3 0
64890 1 0
65310 4 0
65730 1 0
66150 4 0
66570 1 0
66990 4 0
67410 1 0
67830 4 0
68250 0 0
68670 3 0
69090 0 0
69510 3 0
69930 0 0
70350 3 0
70770 0 0
71190 3 0
71610 1 0
72030 4 0
72450 1 0
72870 4 0
73290 1 0
73710 4 0
74130 0 0
74340 1 0
74760 0 0
75390 0 0
75390 2 0
75390 4 0
75810 1 0
75810 3 0
76440 0 0
76440 2 0
76440 4 0
76860 1 0
77070 3 0
77280 1 0
77490 3 0
77700 1 0
77910 3 0
78120 1 0
78330 3 0
78540 1 0
78750 3 0
78960 0 0
78960 2 0
78960 4 0
79440 1 0
79440 3 0
79860 0 0
79860 2 0
79860 4 0
80070 1 0
80280 3 0
80490 1 0
80700 3 0
80910 1 0
81120 3 0
81330 1 0
81540 3 0
81750 1 0
81960 3 0
82170 0 0
82170 2 0
82170 4 0
82590 0 0
82590 2 0
82590 4 0
83010 0 0
83010 2 0
83010 4 0
83430 0 0
83430 2 0
83430 4 0
83850 0 0
83850 2 0
83850 4 0
84060 0 0
84060 2 0
84060 4 0
84270 0 0
84270 2 0
84270 4 0
84480 0 0
84480 2 0
84480 4 0
84690 0 0
84690 2 0
84690 4 0
84900 2 0
85110 0 0
85110 2 0
85110 4 0
85320 0 0
85320 2 0
85320 4 0
85530 0 0
85530 2 0
85530 4 0
85740 1 1680
85740 3 1680
87420 0 840
87420 4 840
88260 1 840
88260 3 840
89100 2 0
89310 0 0
89310 2 0
89310 4 0
89730 1 0
89730 3 0
90360 0 0
90360 2 0
90360 4 0
90780 1 0
90990 3 0
91200 1 0
91410 3 0
91620 1 0
91830 3 0
92040 1 0
92250 3 0
92460 1 0
92670 3 0
92880 0 0
92880 2 0
92880 4 0
93360 1 0
93360 3 0
93780 0 0
93780 2 0
93780 4 0
93990 1 0
94200 3 0
94410 1 0
94620 3 0
94830 1 0
95040 3 0
95250 1 0
95460 3 0
95670 1 0
95880 3 0
96090 0 0
96090 2 0
96090 4 0
96510 0 0
96510 2 0
96510 4 0
96930 0 0
96930 2 0
96930 4 0
97350 0 0
97350 2 0
97350 4 0
97770 0 0
97770 2 0
97770 4 0
97980 0 0
97980 2 0
97980 4 0
98190 0 0
98190 2 0
98190 4 0
98400 0 0
98400 2 0
98400 4 0
98610 0 0
98610 2 0
98610 4 0
98820 2 0
99030 0 0
99030 2 0
99030 4 0
99240 0 0
99240 2 0
99240 4 0
99450 0 0
99450 2 0
99450 4 0
99660 1 1680
99660 3 1680
101340 0 840
101340 4 840
102180 1 840
102180 3 840
103020 0 0
103440 0 0
103860 1 0
104280 0 0
104700 0 0
105120 1 0
105540 0 0
105960 1 0
106380 2 0
106800 2 0
107220 1 0
107640 2 0
108060 2 0
108480 1 0
108900 2 0
109320 1 0
109740 0 0
110160 0 0
110580 1 0
111000 0 0
111420 0 0
111840 1 0
112260 0 0
112680 1 0
113100 1 0
113520 1 0
113940 2 0
114360 1 0
114780 1 0
115200 2 0
115620 1 0
116040 2 0
116460 1 3360
117300 4 2520
120240 2 1260
121500 3 1260
122760 0 0
122970 1 0
122970 3 0
123390 0 2100
123810 1 0
124320 2 0
124740 3 0
125160 4 0
126420 1 0
126630 2 0
126840 3 2730
128310 4 1260
129570 3 0
129990 4 0
130200 0 0
130200 2 0
130200 4 0
130410 0 0
130410 2 0
130410 4 0
130620 0 0
130620 2 0
130620 4 0
131040 1 0
131040 3 0
131460 1 0
131460 3 0
131880 0 0
131880 2 0
131880 4 0
132090 0 0
132090 2 0
132090 4 0
132300 0 0
132300 2 0
132300 4 0
132510 0 0
132510 2 0
132510 4 0
132720 0 0
132720 2 0
132720 4 0
132930 0 0
132930 2 0
132930 4 0
133140 0 0
133140 2 0
133140 4 0
133350 0 0
133350 2 0
133350 4 0
133560 0 0
133560 2 0
133560 4 0
133980 1 0
133980 3 0
134190 1 0
134190 3 0
134400 1 0
134400 3 0
134820 1 0
134820 3 0
135240 0 0
135240 2 0
135240 4 0
135450 0 0
135450 2 0
135450 4 0
135660 0 0
135660 2 0
135660 4 0
135870 0 0
135870 2 0
135870 4 0
136080 0 0
136080 2 0
136080 4 0
136290 0 0
136290 2 0
136290 4 0
136500 0 0
136500 2 0
136500 4 0
136710 0 0
136710 2 0
136710 4 0
137130 1 0
137130 3 0
137340 1 0
137340 3 0
137550 1 0
137550 3 0
137970 1 0
137970 3 0
138390 1 0
138390 3 0
138810 0 0
138810 2 0
138810 4 0
139020 0 0
139020 2 0
139020 4 0
139230 0 0
139230 2 0
139230 4 0
139440 0 0
139440 2 0
139440 4 0
139650 0 0
139650 2 0
139650 4 0
139860 0 0
139860 2 0
139860 4 0
140070 0 0
140070 2 0
140070 4 0
140280 0 0
140280 2 0
140280 4 0
140490 0 0
140490 2 0
140490 4 0
140910 1 0
140910 3 0
141120 1 0
141120 3 0
141330 1 0
141330 3 0
141750 1 0
141750 3 0
142170 0 0
142170 1 0
142590 1 0
142590 2 0
143010 2 0
143010 3 0
143430 3 0
143430 4 0
143640 0 2100
143640 1 2100
143640 3 2100
143640 4 2100
145740 0 0
146160 3 0
146580 0 0
147000 3 0
147420 1 0
147840 4 0
148260 1 0
148680 4 0
149100 1 0
149520 4 0
149940 1 0
150360 4 0
150780 0 0
151200 3 0
151620 0 0
152040 3 0
152460 0 0
152880 3 0
153300 0 0
153720 3 0
154140 1 0
154560 4 0
154980 1 0
155400 4 0
155820 1 0
156240 4 0
156450 0 0
156660 1 0
157080 0 0
157710 0 0
157710 2 0
157710 4 0
158130 1 0
158130 3 0
158760 0 0
158760 2 0
158760 4 0
159180 1 0
159390 3 0
159600 1 0
159810 3 0
160020 1 0
160230 3 0
160440 1 0
160650 3 0
160860 1 0
161070 3 0
161280 0 0
161280 2 0
161280 4 0
161760 1 0
161760 3 0
