3 100000
2826 0 0
2877 1 0
2929 2 0
3503 0 0
3600 1 0
3696 2 0
4180 0 0
4277 1 0
4374 2 0
4762 0 0
4856 1 0
5148 0 0
5245 1 0
5342 2 0
5632 0 0
5922 0 0
6019 1 0
6116 2 0
6599 0 0
6696 1 0
6793 2 0
7277 0 0
7373 1 0
7470 2 0
7954 0 0
8051 1 0
8148 2 0
8244 0 0
8631 0 0
9018 0 0
9405 0 0
9792 0 0
10179 0 0
10566 0 0
10953 0 0
11340 0 0
11727 0 0
12114 0 0
12501 0 0
12888 0 0
13275 0 0
13662 0 0
14049 0 0
14436 0 0
14823 0 0
15210 0 0
15597 0 0
15984 0 0
16371 0 0
16758 0 0
17145 0 0
17532 0 0
17919 0 0
18306 0 0
18693 0 0
19080 0 0
19467 0 0
19854 0 0
20241 0 0
20628 0 0
21015 0 0
21402 0 0
21789 0 0
22176 0 0
22563 0 0
22950 0 0
23337 0 0
23724 0 0
24111 0 0
24498 0 0
24885 0 0
25272 0 0
25659 0 0
26046 0 0
26433 0 0
26820 0 0
27207 0 0
27594 0 0
27981 0 0
28368 0 0
28755 0 0
29142 0 0
29529 0 0
29916 0 0
30303 0 0
30690 0 0
31077 0 0
31464 0 0
31851 0 0
32238 0 0
32625 0 0
33012 0 0
33399 0 0
33786 0 0
34173 0 0
34560 0 0
34947 0 0
35334 0 0
35721 0 0
36108 0 0
36495 0 0
36882 0 0
37269 0 0
37656 0 0
38043 0 0
38430 0 0
38817 0 0
39204 0 0
39591 0 0
39978 0 0
40365 0 0
40752 0 0
41139 0 0
41526 0 0
41913 0 0
42300 0 0
42687 0 0
43074 0 0
43461 0 0
43848 0 0
44235 0 0
44622 0 0
45009 0 0
45396 0 0
45783 0 0
46170 0 0
46557 0 0
46944 0 0
47331 0 0
47718 0 0
48105 0 0
48492 0 0
48879 0 0
49266 0 0
49653 0 0
50040 0 0
50427 0 0
50814 0 0
51201 0 0
51588 0 0
51975 0 0
52362 0 0
52749 0 0
53136 0 0
53523 0 0
53910 0 0
54297 0 0
54684 0 0
55071 0 0
55458 0 0
55845 0 0
56232 0 0
56619 0 0
57006 0 0
57393 0 0
57780 0 0
58167 0 0
58554 0 0
58941 0 0
59328 0 0
59715 0 0
60102 0 0
60489 0 0
60876 0 0
61263 0 0
61650 0 0
62037 0 0
62424 0 0
62811 0 0
63198 0 0
63585 0 0
63972 0 0
64359 0 0
64746 0 0
65133 0 0
65520 0 0
65907 0 0
66294 0 0
66681 0 0
67068 0 0
67455 0 0
67842 0 0
68229 0 0
68616 0 0
69003 0 0
69390 0 0
69777 0 0
70164 0 0
70551 0 0
70938 0 0
71325 0 0
71712 0 0
72099 0 0
72486 0 0
72873 0 0
73260 0 0
73647 0 0
74034 0 0
74421 0 0
74808 0 0
75195 0 0
75582 0 0
75969 0 0
76356 0 0
76743 0 0
77130 0 0
77517 0 0
77904 0 0
78291 0 0
78678 0 0
79065 0 0
79452 0 0
79839 0 0
80226 0 0
80613 0 0
81000 0 0
81387 0 0
81774 0 0
82161 0 0
82548 0 0
82935 0 0
83322 0 0
83709 0 0
84096 0 0
84483 0 0
84870 0 0
85257 0 0
85644 0 0
86031 0 0
86418 0 0
86805 0 0
87192 0 0
87579 0 0
87966 0 0
88353 0 0
88740 0 0
89127 0 0
89514 0 0
89901 0 0
90288 0 0
90675 0 0
91062 0 0
91449 0 0
91836 0 0
92223 0 0
92610 0 0
92997 0 0
93384 0 0
93771 0 0
94158 0 0
94545 0 0
94932 0 0
95319 0 0
95706 0 0
96093 0 0
96480 0 0
96867 0 0
97254 0 0
97641 0 0
98028 0 0
98415 0 0
98802 0 0
99189 0 0
99576 0 0
99963 0 0
100350 0 0
100737 0 0
101124 0 0
101511 0 0
101898 0 0
102285 0 0
102672 0 0
103059 0 0
103446 0 0
103833 0 0
104220 0 0
104607 0 0
104994 0 0
105381 0 0
105768 0 0
106155 0 0
106542 0 0
106929 0 0
107316 0 0
107703 0 0
108090 0 0
